Feature,Importance,Std
BOB_PDI,0.20489035366799963,0.04361080406277094
NIO_PDI,0.17899683559963125,0.02790458880196329
NIO_VF,0.13930854376264948,0.02154905861775718
AS_PDI,0.11015344111864445,0.006886490840170133
BOB_VF,0.05452558174715435,0.011451908315878013
AS_VF,0.05146055527263479,0.008477844684582469
